id,freq,baud,location,time,demod,demodrate,inforate,isdiff,isDAOPU,isTDMA,codeType,frameLen,poly,transport
2460,20601.63965,522.31,04B6K2,2016/1/9 20:36,8PSK,500.246,0,·ñ,·ñ,,,NA,,NA
2461,19604.95902,195.514,04B6K2,2016/1/10 23:12,,NA,NA,,,,,NA,,NA
2462,12171.93711,171.649,04N2K1,2016/1/25 13:34,,0,0,,,,,NA,,NA
2463,12099.29541,340.067,04N2K1,2016/1/14 21:28,BPSK,212.475,0,·ñ,·ñ,,,NA,,NA
2464,12171.61231,170.637,04N2K1,2016/1/17 8:40,,0,0,,,,,NA,,NA
2465,19469.45703,69.74,04N2K1,2016/1/7 11:01,8PSK,47.97,0,·ñ,·ñ,,,NA,,NA
2466,19463.59421,66.437,04N2K1,2016/1/7 11:01,8PSK,92.219,0,·ñ,·ñ,,,NA,,NA
2467,19547.62962,143.314,04N2K1,2016/1/7 11:01,8PSK,97.721,0,·ñ,·ñ,,,NA,,NA
2468,11735.69165,234.232,04N2K1,2016/1/27 6:13,8PSK,140.536,0,·ñ,·ñ,,,NA,,NA
2469,20631.41797,67.781,04N2K1,2016/1/7 11:01,8PSK,29.998,0,·ñ,·ñ,,,NA,,NA
2470,19465.23633,69.838,04N2K1,2016/1/7 11:01,QPSK,51.131,0,·ñ,·ñ,,,NA,,NA
2471,19464.39746,61.207,04N2K1,2016/1/7 11:01,QPSK,21.74,0,·ñ,·ñ,,,NA,,NA
2472,12074.62006,348.318,04N2K1,2016/1/11 11:54,,NA,NA,,,,,NA,,NA
2473,11846.21948,274.161,04N2K1,2016/2/2 12:32,8PSK,212.099,0,·ñ,·ñ,,,NA,,NA
2474,12094.18237,264.714,04N2K1,2016/2/2 4:43,8PSK,431.471,0,·ñ,·ñ,,,NA,,NA
2475,11735.7356,60.278,04N2K1,2016/1/28 21:23,8PSK,140.536,0,·ñ,·ñ,,,NA,,NA
2476,12085.4585,735.086,04N2K1,2016/2/1 22:32,QPSK,785.062,1152000,·ñ,·ñ,,TPCÂë,NA,"12,9,3,2,0",NA
2477,20618.00586,15.216,04N2K1,2016/1/12 8:16,8PSK,20.637,0,·ñ,·ñ,,,NA,,NA
2478,20575,259.93,04N2K1,2016/1/11 23:28,8PSK,200.573,0,·ñ,·ñ,,,NA,,NA
2479,20608.86523,234.425,04N2K1,2016/1/22 7:35,QPSK,200.008,0,·ñ,·ñ,,,NA,,NA
2480,20552.79883,250.356,04N2K1,2016/1/11 23:29,QPSK,115.467,0,·ñ,·ñ,,,NA,,NA
2481,20554.50845,256.256,04N2K1,2016/1/19 22:49,8PSK,232.816,0,·ñ,·ñ,,,NA,,NA
2482,20539.89063,66.816,04N2K1,2016/1/15 9:28,QPSK,59.775,0,·ñ,·ñ,,,NA,,NA
2483,11678.84033,110.8,04N2K1,2016/1/10 16:53,,NA,NA,,,,,NA,,NA
2484,11824.4939,963.85,04N2K1,2016/1/7 11:01,QPSK,905.251,0,·ñ,·ñ,,,NA,,NA
2485,19463.18359,32.192,04N2K1,2016/1/7 11:01,8PSK,21.073,0,·ñ,·ñ,,,NA,,NA
2486,19464.46191,66.448,04N2K1,2016/1/7 11:01,8PSK,48.372,0,·ñ,·ñ,,,NA,,NA
2487,19549.35059,40.263,04N2K1,2016/1/7 11:01,8PSK,14.525,0,·ñ,·ñ,,,NA,,NA
2488,19469.625,61.786,04N2K1,2016/1/7 11:01,QPSK,36.858,0,·ñ,·ñ,,,NA,,NA
2489,11735.64233,398.843,04N2K1,2016/1/28 1:49,8PSK,140.536,0,·ñ,·ñ,,,NA,,NA
2490,11678.83936,111.617,04N2K1,2016/1/13 10:24,,0,0,,,,,NA,,NA
2491,11735.59229,680.607,04N2K1,2016/1/23 0:08,8PSK,140.536,0,·ñ,·ñ,,,NA,,NA
2492,20691.69043,480.717,04N2K1,2016/1/7 11:01,QPSK,300.089,0,·ñ,·ñ,,,NA,,NA
2493,11877.99023,525.066,04N2K1,2016/1/11 1:34,8PSK,830.286,0,·ñ,·ñ,,,NA,,NA
2494,11878.74269,37.964,04N2K1,2016/1/11 1:46,,NA,NA,,,,,NA,,NA
2495,20566.99707,273.796,04N2K1,2016/1/11 6:06,QPSK,237.137,0,·ñ,·ñ,,,NA,,NA
2496,11735.64185,482.863,04N2K1,2016/1/27 22:40,8PSK,140.536,0,·ñ,·ñ,,,NA,,NA
2497,19463.18359,32.192,04N2K1,2016/1/7 11:01,8PSK,34.741,0,·ñ,·ñ,,,NA,,NA
2498,11601.52466,5082.676,04N2K1,2016/2/2 10:42,QPSK,6436.561,6336000,·ñ,·ñ,,TPCÂë,NA,V35,NA
2499,11678.33106,124.429,04N2K1,2016/1/12 0:54,QPSK,134.095,134095,·ñ,·ñ,,TPCÂë,NA,V35,NA
2500,20565.73535,553.006,04N2K1,2016/1/12 14:07,8PSK,385.779,0,·ñ,·ñ,,,NA,,NA
2501,20566.99707,273.796,04N2K1,2016/1/26 0:09,8PSK,265.386,0,·ñ,·ñ,,,NA,,NA
2502,20566.61133,261.29,04N2K1,2016/1/12 6:53,QPSK,245.15,0,·ñ,·ñ,,,NA,,NA
2503,20566.2041,254.932,04N2K1,2016/2/5 12:05,8PSK,341.497,0,·ñ,·ñ,,,NA,,NA
2504,20569.00684,259.222,04N2K1,2016/1/12 6:53,8PSK,122.987,0,·ñ,·ñ,,,NA,,NA
2505,19464.39746,61.207,04N2K1,2016/1/7 11:01,8PSK,28.717,0,·ñ,·ñ,,,NA,,NA
2506,11561.39844,241.979,04N2K1,2016/1/28 1:49,8PSK,269.131,0,·ñ,·ñ,,,NA,,NA
2507,11735.72681,98.312,04N2K1,2016/1/28 12:21,8PSK,140.536,0,·ñ,·ñ,,,NA,,NA
2508,11678.84863,111.332,04N2K1,2016/2/2 12:32,,0,0,,,ÊÇ,,NA,,NA
2509,11924.3667,143.178,04N2K1,2016/2/1 21:02,QPSK,76.053,0,·ñ,·ñ,,,NA,,NA
2510,11744.80835,110.891,04N2K1,2016/2/2 12:32,8PSK,140.037,0,·ñ,·ñ,,,NA,,NA
2511,12184.80225,133.039,04N2K1,2016/1/22 4:38,QPSK,138.762,0,·ñ,·ñ,,,NA,,NA
2512,12040.21826,938.532,04N2K1,2016/1/27 13:42,,0,0,,,,,NA,,NA
2513,20554.65421,264.798,04N2K1,2016/1/15 18:13,8PSK,299.056,0,·ñ,·ñ,,,NA,,NA
2514,12171.8374,153.689,04N2K1,2016/1/16 4:37,,0,0,,,,,NA,,NA
2515,11954.46411,143.092,04N2K1,2016/1/27 16:32,8PSK,91.122,0,·ñ,·ñ,,,NA,,NA
2516,12171.67529,80.778,04N2K1,2016/1/14 23:02,8PSK,159.936,0,·ñ,·ñ,,,NA,,NA
2517,11718.59912,264.365,04N2K1,2016/2/2 12:32,8PSK,328.256,0,·ñ,·ñ,,,NA,,NA
2518,20553.50195,81.816,04N2K1,2016/2/5 11:35,8PSK,53.358,0,·ñ,·ñ,,,NA,,NA
2519,20544.12695,90.889,04N2K1,2016/2/5 11:42,QPSK,93.866,140000,·ñ,·ñ,,TPCÂë,NA,IBS,NA
